date,ams_orders,Spend,adGroupName,campaignId,Impressions,14 Day Total Sales (₹),adGroupId,raw_sku,asin,Clicks,campaignName,14 Day Total Units (#),sku,model,brand,category_l0,category_l1,category_l2,ad_account
2026-08-13,0,39.74,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,253,0.0,387060877405390,FBA79260,B07GVGMW59,3,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-14,0,0.0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,96,0.0,387060877405390,FBA79260,B07GVGMW59,0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-15,0,0.0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,342,0.0,387060877405390,FBA79260,B07GVGMW59,0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-16,0,22.05,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,326,0.0,387060877405390,FBA79260,B07GVGMW59,2,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-17,0,0.0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,444,0.0,387060877405390,FBA79260,B07GVGMW59,0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-18,0,47.57,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,522,0.0,387060877405390,FBA79260,B07GVGMW59,4,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-19,0,26.94,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,421,0.0,387060877405390,FBA79260,B07GVGMW59,2,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-20,0,40.32,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,370,0.0,387060877405390,FBA79260,B07GVGMW59,3,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-21,0,20.01,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,506,0.0,387060877405390,FBA79260,B07GVGMW59,1,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-01,0,0.0,Audio Array-TONOR Adjustable Mic-Catch All -SP-KT-Exact/Phrase,541158460414520,0,0.0,396868641176471,B0CFKHCQ8W,B0CFKHCQ8W,0,Audio Array-TONOR Adjustable Mic-Catch All-SP-KT -Exact/Phrase,0,FBA79585,T20LP,Tonor,Accessories,Low Profile Boom Arm,,AudioArray
