SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79469,LE-04,B0DCK4DR1B,B0DCK4DR1B,Nexlev Skin Lift Device | 7 Color LED | Face & Neck Skin Lifting| 3 Massage Modes| Face Sculpting Tool |Micro-currents to reduce Wrinkles| Hot Compress | Rechargeable| Type-C| 180 Min Use| Glow+ LE-04,575,13,0.10%,0.16%,775,26,0.11%,0.25%,11.92%,0.00%,2,0,0.35%,0.00%,"₹ 2,616.95",₹ 0.00,2,0
FBA79475,TIC-04,B0DJFJZMC6,B0DJFJZMC6,"nexlev Cordless & Corded Tyre Inflator|150 PSI| 6000 mAh Powerbank|LED Light | Type C Port |Digital Display| 5 Pre-Set Modes|Auto Shut-Off |Multiple Nozzles for Cars, Bikes, Cycle| AER Pro Max TIC-04",518,10,0.09%,0.12%,621,18,0.09%,0.17%,91.11%,100.00%,2,0,0.39%,0.00%,"₹ 3,896.61",₹ 0.00,2,0
FBA79467,TM-01,B0DK9LYT4P,B0DK9LYT4P,NexLev Beard Trimmer| 90min Run Time| 40 Length Settings| 0.5mm Precision| Washable Stainless Steel Blades| Copper Motor| USB Type-C| IPX7 Waterproof| Travel Lock| 2 Beard Comb| 1 Year Warranty |TM-01,190,3,0.03%,0.04%,274,5,0.04%,0.05%,38.40%,33.33%,2,0,1.05%,0.00%,₹ 595.76,₹ 0.00,2,0
FBA79565,VC-04,B0DKJZDY72,B0DKJZDY72,nexlev Cordless Vacuum Cleaner & Blower |BLDC Copper Motor |HEPA with Stainless Steel Cover | for Home Office & Car Cleaning|4 Attachments | Blower for Dust & Inflatables | Portable & Compact | VC-04,311,4,0.06%,0.05%,385,4,0.05%,0.04%,53.30%,66.67%,2,0,0.64%,0.00%,"₹ 4,235.59",₹ 0.00,2,0
FBA79598,BM-02,B0DNJJKBKG,B0DNJJKBKG,NexLev Neck & Back Massager | Deep Tissue Shiatsu Roller | Cervical Pain Relief | 3 Speeds | 8 Kneading Nodes | Quick Pain Relief | Auto Shut Off | 1 year Warranty | BM-02,190,1,0.03%,0.01%,226,1,0.03%,0.01%,45.50%,0.00%,2,0,1.05%,0.00%,"₹ 1,558.47",₹ 0.00,2,0
FBA79692,AP-03,B0DVC58QPZ,B0DVC58QPZ,NexLev Smart Air Purifier | Home Room & Office Use upto 220 sq ft |True HEPA 13 Filter | Eliminate 99.99% Virus Dust Smoke Odor Pollen Allergens & Pollutants | Long Filter Life |3 Year Warranty |AP220,723,24,0.13%,0.30%,992,31,0.14%,0.29%,99.89%,100.00%,2,0,0.28%,0.00%,"₹ 7,448.31",₹ 0.00,2,0
FBA79677,NP-06,B0DVCBR11D,B0DVCBR11D,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-06",45,2,0.01%,0.02%,59,2,0.01%,0.02%,100.00%,0.00%,2,0,4.44%,0.00%,"₹ 1,477.12",₹ 0.00,2,0
FBA79348,HD-02,B0D81DLSFT,B0D81DLSFT,"Nexlev Hair Dryer For Women| Foldable| 1500 Watts| Cool Shot| 3 Heat & 2 Speed Settings| Overheat Protection| Concentrator Nozzle| Salon-Style Blow Dry| Just Style (Hd-02 Women), Black & Copper",46,1,0.01%,0.01%,54,1,0.01%,0.01%,96.43%,0.00%,1,0,2.17%,0.00%,₹ 708.47,₹ 0.00,1,0
FBA79347,ETC-05-PI,B0D842173P,B0D842173P,Nexlev Electric Toothbrush| 40000 vibrations/min|USB Type C| 5 Modes| 2 Min timer| 30 sec Quad Interval| 4 Replaceable Brushheads With Cover| IPX7 Waterproof| For Adults|Sparkle Pro ETC-05 Sunset Pink,93,1,0.02%,0.01%,145,1,0.02%,0.01%,43.22%,0.00%,1,0,1.08%,0.00%,₹ 574.58,₹ 0.00,1,0
FBA79278,HD-01,B0D86ZC9YT,B0D86ZC9YT,Nexlev Just Style Pro Hair Dryer |2100 W for Quick & Easy Blowdry | Double Heat Protection Technology | 3 Heat Settings & Cool Shot Function For Salon-Like Styling at Home (HD-01),243,4,0.04%,0.05%,322,4,0.04%,0.04%,17.42%,0.00%,1,0,0.41%,0.00%,₹ 973.73,₹ 0.00,1,0
FBA79463,VC-02,B0DCK56Q85,B0DCK56Q85,"NexLev Cordless Vacuum Cleaner|HEPA with Stainless Steel Cover|6000 mAh|Copper Motor| Rechargeable Type C|Ideal for Home, Office & Car Use|Compact & Portable|Dust & Pet Hair Remover|3 Attachment|VC-02",11,0,0.00%,0.00%,16,0,0.00%,0.00%,100.00%,0.00%,1,0,9.09%,0.00%,"₹ 2,202.54",₹ 0.00,1,0
FBA79483,TM-03,B0DK9NRBWJ,B0DK9NRBWJ,NexLev Intimate Trimmer for Men|Ceramic Blade|120 Min Runtime|Type C Charge | IPX7 Waterproof | 7000RPM Copper Motor| Cordless|LED Light| Travel Lock| Wet/Dry Groin & Body Shaver | Intimate Pro TM-03,82,1,0.01%,0.01%,115,2,0.02%,0.02%,66.67%,0.00%,1,0,1.22%,0.00%,₹ 888.98,₹ 0.00,1,0
FBA79590,CFM-01,B0DM6BB3VT,B0DM6BB3VT,NexLev Calf Massager | Daily Use Leg Massager for Sore Muscle |1 Piece | Hand Like Massage with Air Compression | Improve Blood Circulation & Relieve Pain | 2500 mAh | Large Belt | Type C |CFM-01,51,2,0.01%,0.02%,73,3,0.01%,0.03%,76.19%,0.00%,1,0,1.96%,0.00%,"₹ 2,626.27",₹ 0.00,1,0
FBA79596,MG-01,B0DMT19RWC,B0DMT19RWC,"NexLev Massage Gun |Full Body- Neck, Shoulders, Back, Arms & Feet Pain Relief|Handheld Deep Tissue Massager| 4 Heads| 99 Gears Levels| 3 Modes| 3800 RPM| 1800mAh Battery|Type-C Interface|MG-01",45,3,0.01%,0.04%,66,5,0.01%,0.05%,96.97%,100.00%,1,0,2.22%,0.00%,"₹ 1,372.03",₹ 0.00,1,0
FBA79676,HB-01,B0DV91JGF1,B0DV91JGF1,NexLev Orthopaedic Heat and Massage Belt | Massager for Lower Back Shoulder Cramps and Neck Pain Relief | 3 massage Modes | 2 intensities | Heat for Soothing Sore Muscles | 30 min Auto Shut off |HB-01,52,1,0.01%,0.01%,75,2,0.01%,0.02%,98.55%,0.00%,1,0,1.92%,0.00%,"₹ 2,965.25",₹ 0.00,1,0
FBA79717,SPM-01 Set of 2 Mops,B0F2MZ9BJS,B0F2MZ9BJS,NexLev Replacement Mop Pads (Set of 2) | Compatible with NexLev Cordless Spin Mop SPM-01 | Soft Microfiber Cleaning Pads | Washable & Reusable | For All Floor Types | Easy to Attach & Remove,60,4,0.01%,0.05%,76,5,0.01%,0.05%,100.00%,100.00%,1,0,1.67%,0.00%,₹ 253.39,₹ 0.00,1,0
FBA79771,SC-01 Set of Spares,B0F678L8YT,B0F678L8YT,"NexLev Replacement Accessory Kit for Steam Cleaner SC-01 | Multipurpose Cleaning Attachments for Home, Kitchen, Bathroom & Car",10,0,0.00%,0.00%,16,0,0.00%,0.00%,83.33%,0.00%,1,0,10.00%,0.00%,₹ 338.14,₹ 0.00,1,0
