asin,sku,brand,model,buybox_price,amazon_1p_price,merchant_low_price,buybox_seller_name,buybox_seller_id,offer_count,error,fetched_at
B0B4G8PH2P,FBA75678,Audio Array,AA-01,2149.0,2149.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0BLNCP74M,FBA76728,Audio Array,AM-C25,2728.0,2728.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,1.0,,2026-08-03T07:52:36.708085+00:00
B0FJ2DT13L,FBA79825,Audio Array,GB-02 (AM-C43 + AI-11),,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0FJ8TSQK1,FBA79830,Audio Array,GB-03 (AI-12 + AM-C43),,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0B4DS678Q,FBA75676,Audio Array,AM-C4,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0CJR76Y7G,FBA79064,Audio Array,AA-25,849.0,849.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0FJS7JZ4V,FBK79708,Audio Array,SB-01,1199.0,1199.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,1.0,,2026-08-03T07:52:36.708085+00:00
B0B4G94VP3,FBA75683,Audio Array,AA-03,499.0,499.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,3.0,,2026-08-03T07:52:36.708085+00:00
B0CH4PMR8K,FBA79009,Audio Array,AM-C41,2076.0,2076.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,1.0,,2026-08-03T07:52:36.708085+00:00
B0B4G763WS,FBA75688,Audio Array,AM-W12,3999.0,3999.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,3.0,,2026-08-03T07:52:36.708085+00:00
B0FJ8S5XJ8,FBA79827,Audio Array,PB-03 (AI-04 Red + AM-C11 x 2),,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0DN6LJZBR,FBA79653,Audio Array,AM-C45 Pro,4028.0,3999.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0CX1XK5R6,FBA79230,Audio Array,AM-W46,4999.0,4999.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
B0DFMQCGT1,FBA79465,Audio Array,AM-W21,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0BLKB6FRR,FBA76730,Audio Array,AM-C27,1249.0,1249.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0C4YSV3XL,FBA78206,Audio Array,AM-W15,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0FJ8PZ9H7,FBA79833,Audio Array,PB-04 (AI-04 Red + AM-C44 x 2),13652.0,13599.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0B4G5JG4P,FBA75691,Audio Array,AM-W14,6299.0,6299.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
B0BLKBJ5HN,FBA76742,Audio Array,AM-K1,9299.0,9299.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,1.0,,2026-08-03T07:52:36.708085+00:00
B0FJ8S53GW,FBA79832,Audio Array,GB-05 (AM-C43 + AI-06),5399.0,5399.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
B0BLKB55BM,FBA76721,Audio Array,AM-C18,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0BLK8DNPD,FBA76716,Audio Array,AM-C13,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0GN97RFPR,FBA79848,Audio Array,AM-S2,7499.0,7499.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
B0H1MTP2ZP,FBA80143,Audio Array,AM-S2,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0C55MY66L,FBA78424,Audio Array,AM-C37,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0FLYJFC22,FBK79010,Audio Array,AM-C42,2367.0,2349.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0BLKDC4PP,FBA76722,Audio Array,AM-C19,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0CF5WXWFH,FBA78986,Audio Array,AB-01,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0C539RBGL,FBA78205,Audio Array,AM-C32,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0C4YTNJG7,FBA78203,Audio Array,AM-C30,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0BLK7VQ2N,FBA76744,Audio Array,AM-K3,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0BPMN89NG,FBA77011,Audio Array,AM-C29,1749.0,1749.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,1.0,,2026-08-03T07:52:36.708085+00:00
B0BLK8PXNY,FBA76743,Audio Array,AM-K2,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0CLH7G5WH,FBA79070,Audio Array,AI-02 2x2| Metallic Red,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0C5957W3P,FBA78420,Audio Array,AM-C33,449.0,449.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,1.0,,2026-08-03T07:52:36.708085+00:00
B0GNM35G8X,FBA79814,Audio Array,AH-50 Ear Cushion,549.0,549.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,1.0,,2026-08-03T07:52:36.708085+00:00
B0B4FVV78V,FBA75682,Audio Array,AM-C8,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0B4FXDHXW,FBA75685,Audio Array,AM-C9,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0C55QXL83,FBA78425,Audio Array,AM-C38,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0BLKD4815,FBA76726,Audio Array,AM-C23,1799.0,1799.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,1.0,,2026-08-03T07:52:36.708085+00:00
B0BLRK37TB,FBA76739,Audio Array,AA-12,2299.0,2299.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,1.0,,2026-08-03T07:52:36.708085+00:00
B0CH4WFQF6,FBA79014,Audio Array,AI-09,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0BLKD8FVG,FBA76718,Audio Array,AM-C15,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0BLKHVCDX,FBA76734,Audio Array,AA-07,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0C55M2GBN,FBA78419,Audio Array,AM-A1,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0CF5T89FT,FBA78972,Audio Array,AA-18,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0C598Q6PT,FBA78423,Audio Array,AM-C36,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0BLK31PYH,FBA76715,Audio Array,AM-C12,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0CF5TDLFH,FBA78971,Audio Array,AA-17,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0BLKGPL4X,FBA76735,Audio Array,AA-08,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0BLKCB2JY,FBA76732,Audio Array,AI-01,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0BLKCWZQD,FBA76720,Audio Array,AM-C17,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0BLKCSJ7Z,FBA76725,Audio Array,AM-C22,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0C598MNMC,FBA78422,Audio Array,AM-C35,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0CH4TDGPG,FBA79013,Audio Array,AI-08,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0CH4THGGM,FBA79012,Audio Array,AI-07,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0C594FZLM,FBA78421,Audio Array,AM-C34,,,,,,,,2026-08-03T07:52:36.708085+00:00
