asin,brand,model,sku,account,referral_rs,referral_pct,variable_closing_rs,per_item_rs,fba_fees_rs,total_fees_rs,total_fees_pct,referral_rs_gross,total_fees_rs_gross,gst_rate,price_used_rs,price_source,buybox_price_rs,buybox_seller_id,buybox_belongs_to_us,currency,fetched_at
B0F43P6D23,Nexlev,SC-05,FBA79652,NEXLEV,157.46,4.5,0.0,52.0,148.0,357.46,10.22,185.8,421.8,0.18,3499.0,listing,3499.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0FJG5PFGQ,Nexlev,ETC-07-WH,FBA79673,NEXLEV,0.0,0.0,0.0,27.0,59.0,86.0,10.83,0.0,101.48,0.18,794.0,listing,794.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DV8XH455,Nexlev,BM-03,FBA79674,NEXLEV,147.83,7.5,0.0,52.0,115.0,314.83,15.97,174.44,371.5,0.18,1971.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DV9MYK6S,Nexlev,PM-01,FBA79675,NEXLEV,316.54,14.5,0.0,52.0,148.0,516.54,23.66,373.52,609.52,0.18,2183.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DV91JGF1,Nexlev,HB-01,FBA79676,NEXLEV,166.88,7.5,0.0,52.0,148.0,366.88,16.49,196.92,432.92,0.18,2225.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DVCBR11D,Nexlev,NP-06,FBA79677,NEXLEV,127.08,12.0,0.0,52.0,77.0,256.08,24.18,149.95,302.17,0.18,1059.0,listing,999.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DVCDD5VC,Nexlev,NP-07,FBA79678,NEXLEV,127.08,12.0,0.0,52.0,77.0,256.08,24.18,149.95,302.17,0.18,1059.0,listing,999.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DVC7VJP1,Nexlev,ST-01,FBA79679,NEXLEV,511.92,8.0,0.0,52.0,242.47,806.4,12.6,604.07,951.55,0.18,6399.0,listing,6399.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DVC968P1,Nexlev,HU-01,FBA79681,NEXLEV,162.9,7.5,0.0,52.0,148.0,362.9,16.71,192.22,428.22,0.18,2172.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DVC8NYY2,Nexlev,HU-02,FBA79682,NEXLEV,142.43,7.5,0.0,52.0,148.0,342.43,18.03,168.07,404.07,0.18,1899.0,listing,1899.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DVC9PRSD,Nexlev,AP-01,FBA79683,NEXLEV,1401.65,8.5,0.0,52.0,429.91,1883.56,11.42,1653.95,2222.6,0.18,16490.0,listing,17679.0,A15YBOSC0EMOS0,False,INR,2026-07-16T11:04:23+00:00
B0DVC9Q219,Nexlev,AP-02,FBA79684,NEXLEV,900.92,8.5,0.0,52.0,400.86,1353.79,12.77,1063.09,1597.47,0.18,10599.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DV94R4QD,Nexlev,MGS-02,FBA79686,NEXLEV,0.0,0.0,0.0,27.0,77.0,104.0,10.91,0.0,122.72,0.18,953.0,listing,899.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DV9CY3XR,Nexlev,MGC-03,FBA79687,NEXLEV,291.89,14.5,0.0,52.0,115.0,458.89,22.8,344.43,541.49,0.18,2013.0,listing,2013.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DV8TR64D,Nexlev,MM-01,FBA79688,NEXLEV,218.34,2.0,0.0,52.0,228.02,498.36,4.56,257.64,588.06,0.18,10917.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DVSZ2VVJ,Nexlev,CFM-02,FBA79689,NEXLEV,449.93,7.5,0.0,52.0,148.0,649.93,10.83,530.92,766.92,0.18,5999.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DV931G48,Nexlev,PM-02,FBA79690,NEXLEV,256.22,14.5,0.0,52.0,115.0,423.22,23.95,302.34,499.4,0.18,1767.0,listing,1767.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DVC58QPZ,Nexlev,AP-03,FBA79692,NEXLEV,325.88,7.5,0.0,52.0,181.0,558.88,12.86,384.54,659.48,0.18,4345.0,listing,4199.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DVC91Q7J,Nexlev,TM-05,FBA79693,NEXLEV,201.31,9.5,0.0,52.0,77.0,330.31,15.59,237.55,389.77,0.18,2119.0,listing,2119.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DTK4FY1G,Nexlev,SS-01,FBA79698,NEXLEV,254.3,10.0,0.0,52.0,115.0,421.3,16.57,300.07,497.13,0.18,2543.0,listing,2399.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DTYDTKN8,Nexlev,SPM-01,FBA79699,NEXLEV,508.68,12.0,0.0,52.0,148.0,708.68,16.72,600.24,836.24,0.18,4239.0,listing,4239.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0FJ1ZB4G9,Nexlev,ETC-08-BL,FBA79707,NEXLEV,0.0,0.0,0.0,27.0,59.0,86.0,10.83,0.0,101.48,0.18,794.0,listing,794.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0FJ8SFNRH,Nexlev,KE-03,FBA79809,NEXLEV,0.0,0.0,0.0,27.0,148.0,175.0,27.56,0.0,206.5,0.18,635.0,listing,635.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
