brand,sku,asin,model,category_l1,category_l2,product_name,latest_fob,nlc,dp,mrp,bau_deal_sp,bau_sp_mop,gross_margin,gross_margin_pct,net_margin,net_margin_pct,total_stock,soh,am_soh,am_intransit
Audio Array,FBA75677,B0B4KC7VBM,AM-C5,Microphone,Conference Microphone,AM-C5,10.0,1245.243931712471,1055.29,5999,2499.0,2349.0,1062.51,42.52,136.17,5.45,1901,1775,152,142
Audio Array,FBA75681,B0B4FZS38V,AM-C7,Microphone,USB Microphone Kit - Boomarm,AM-C7,15.5,1935.357259849412,1640.13,6999,2799.0,2199.0,731.9,26.15,-366.65,-13.1,20,19,1,0
Audio Array,FBA79356,B0D3Q2T5XX,AA-19WL,Microphone Accessories,RGB Boom Arm,AA-19WL,22.8,2840.596781670794,2407.29,9999,4999.0,4999.0,1829.16,36.59,-79.71,-1.59,192,172,34,0
Audio Array,FBA75688,B0B4G763WS,AM-W12,Microphone,Wireless UHF Microphone,AM-W12,15.0,1868.079166909412,1583.12,11999,3999.0,3999.0,1805.87,45.16,468.7,11.72,473,430,49,11
Audio Array,FBA75690,B0B4K87PR4,AM-C10,Microphone,Conference Microphone,AM-C10,18.0,2230.408526089499,1890.18,6999,4199.0,3999.0,1668.3,39.73,187.15,4.46,529,485,96,80
Audio Array,FBA79105,B0CM6WH4ZT,AI-12,Audio Interface,Audio Interface,AI-12,5.2,601.5678897042794,509.8,3999,1349.0,1449.0,633.42,46.95,98.57,7.31,762,653,128,6
Audio Array,FBA75674,B0B4G19R58,AM-C2,Microphone,XLR Condenser Microphone Kit - Boomarm,AM-C2,15.5,1963.180815871765,1663.71,8999,3999.0,3799.0,1725.27,43.14,250.5,6.26,799,159,140,82
Audio Array,FBA76863,B0BPM2T7BQ,AI-03,Audio Interface,Audio Interface,AI-03,18.0,2083.618814107765,1765.78,10999,3999.0,3899.0,1623.2,40.59,209.79,5.25,191,148,71,38
Audio Array,FBA79813,B0FG88HVQ8,AH-50,Headphone,DJ Headphone,AH-50,8.8,1149.773861206588,974.38,3499,2199.0,1999.0,889.17,40.44,53.47,2.43,4492,653,931,71
Audio Array,FBA79839,B0FQBXS6Y2,AH-45 BK,Headphone,DJ Headphone,AH-45 BK,4.5,600.3791125094118,508.8,2499,1499.0,1549.0,761.54,50.8,132.79,8.86,1243,906,373,39
Audio Array,FBA78976,B0CF5SHL15,AA-22,Speaker Accessories,Speaker Stand,AA-22,12.8,1614.546031698529,1368.26,7399,3499.0,3699.0,1596.99,45.64,224.11,6.41,342,283,63,0
Audio Array,FBA76723,B0BLKF46QG,AM-C20,Microphone,USB Microphone Kit - Tripod,AM-C20,9.52,1184.029190056059,1003.41,3999,1499.0,1349.0,266.92,17.81,-442.47,-29.52,4,0,4,0
Audio Array,FBA79838,B0FQBX8J17,AH-40 SL,Headphone,DJ Headphone,AH-40 SL,3.5,463.8581811508235,393.1,1999,1199.0,1299.0,623.0,51.96,55.17,4.6,1639,1347,285,103
Audio Array,FBA79844,B0FN7DYB2M,PB-08 (AM-C1 + AI-04),Bundles,PB-08,PB-08 (AM-C1 + AI-04),29.0,3668.021093811176,3108.49,"₹ 11,999.00",6999.0,,2822.86,40.33,304.7,4.35,20,19,1,0
Audio Array,FBA79694,B0DT6T6N6B,AA-26,Microphone Accessories,Microphone Stand,AA-26,2.0,249.1491548067882,211.14,899,499.0,549.0,211.74,42.43,-11.95,-2.4,1464,1083,694,892
Audio Array,FBA78960,B0CBCB82MT,AM-C39,Microphone,XLR Condenser Microphone Kit - Tripod,AM-C39,5.5,691.4166407745881,585.95,3999,1599.0,1699.0,769.14,48.1,113.68,7.11,389,324,49,34
Audio Array,FBA75679,B0B4JRQP22,AA-02,Microphone Accessories,Sound Isolation Shield,AA-02,9.5,1212.165845324471,1027.26,5999,2499.0,2499.0,1090.54,43.64,95.84,3.84,933,772,185,45
Audio Array,FBA79107,B0CM9P5CCK,AM-W17,Microphone,Wireless Lapel Microphone,AM-W17,8.0,991.234775898,840.03,4999,1899.0,1749.0,769.29,40.51,39.78,2.09,1251,55,39,0
Audio Array,FBA79655,B0DN6PFWNK,AM-C44 Pro,Bundles,Bundles,AM-C44 Pro,24.0,3016.406316804353,2556.28,9499,5799.0,5299.0,2358.13,40.66,415.1,7.16,33,7,39,8
Audio Array,FBA79841,B0FQBTRM28,AH-60 BL,Headphone,DJ Headphone,AH-60 BL,8.0,1070.446564524706,907.16,3499,1999.0,1999.0,786.91,39.37,-24.45,-1.22,464,411,72,15
Audio Array,FBA75684,B0B4G7VWXD,AA-04,Microphone Accessories,Shock Mount,AA-04,6.6,825.9555891295589,699.96,2999,1599.0,1699.0,655.12,40.97,14.33,0.9,323,233,109,56
Audio Array,FBA79008,B0CH4RT4P8,AI-06,Audio Interface,Audio Interface,AI-06,22.5,2596.340760937941,2200.29,9999,3999.0,3499.0,1188.69,29.72,-266.73,-6.67,108,81,26,0
Audio Array,FBA79445,B0DFMLS8JG,AM-W32,Microphone,Wireless UHF Microphone,AM-W32,16.62,2069.419317900882,1753.75,6999,3899.0,3549.0,1550.49,39.77,166.22,4.26,1283,194,64,14
Audio Array,FBA76414,B0BLJVJ2GN,AA-05,Microphone Accessories,Boom Arm,AA-05,2.0,255.5340978287118,216.55,1999,679.0,649.0,358.87,52.85,49.7,7.32,1681,1200,527,224
Audio Array,FBA75675,B0B4G8ZB64,AM-C3,Microphone,Wired Dynamic Mic,AM-C3,5.0,625.3888706391175,529.99,2999,899.0,899.0,231.87,25.79,-63.43,-7.06,129,68,67,53
Audio Array,FBA79783,B0FF9R3GKK,AM-C47,Microphone,RGB Condenser Mic with Boom Arm,AM-C47,12.4,1566.72414468,1327.73,4999,2999.0,2999.0,1213.79,40.47,83.74,2.79,485,431,79,31
Audio Array,FBA79827,B0FJ8S5XJ8,PB-03 (AI-04 Red + AM-C11 x 2),Bundles,PB-03,PB-03 (AI-04 Red + AM-C11 x 2),64.0,7982.400978698824,6764.75,"₹ 26,299.00",13999.0,13899.0,5098.81,36.42,242.55,1.73,22,0,22,0
Audio Array,FBA77171,B0CH4VCD6R,AC-6XL,Microphone Accessories,6m XLR to 6.35m Cable,AC-6XL,1.3,168.2962485405882,142.62,999,499.0,549.0,280.26,56.16,2.62,0.52,1967,1687,266,195
Audio Array,FBA79653,B0DN6LJZBR,AM-C45 Pro,Bundles,Bundles,AM-C45 Pro,17.5,2211.785882047059,1874.39,8999,4499.0,4099.0,1938.32,43.08,423.65,9.42,22,13,20,0
Audio Array,FBA79825,B0FJ2DT13L,GB-02 (AM-C43 + AI-11),Bundles,GB-02,GB-02 (AM-C43 + AI-11),16.5,2105.160123389029,1784.03,"₹ 12,499.00",3899.0,3899.0,1520.2,38.99,-38.88,-1.0,31,9,30,18
Audio Array,FBA75687,B0B4G5ZLTB,AM-W11,Microphone,Wireless UHF Microphone,AM-W11,22.3,2761.508247624,2340.26,9999,2799.0,2299.0,31.77,1.14,-1081.87,-38.65,500,0,0,0
Audio Array,FBA78974,B0CF5RRTDJ,AA-20,Microphone Accessories,Boom Arm,AA-20,8.1,1029.866758644706,872.77,4999,2499.0,2149.0,1245.03,49.82,297.92,11.92,398,363,42,0
Audio Array,FBA75680,B0B4G1PXWV,AM-C6,Microphone,USB Microphone Kit - Tripod,AM-C6,14.0,1740.214270204941,1474.76,5999,2599.0,1999.0,727.78,28.0,-266.15,-10.24,8,0,8,1
Audio Array,FBA79009,B0CH4PMR8K,AM-C41,Microphone,USB Microphone Kit - Tripod,AM-C41,8.0,1001.250938752941,848.52,3999,1799.0,1649.0,676.06,37.58,24.24,1.35,136,97,70,8
Audio Array,FBA75676,B0B4DS678Q,AM-C4,Microphone,USB Microphone Kit - Tripod,AM-C4,13.0,1621.245024450265,1373.94,5999,2499.0,1999.0,743.86,29.77,-213.56,-8.55,51,30,23,0
Audio Array,FBA76597,B0BQ7H7418,AA-06,Microphone Accessories,Boom Arm Kit,AA-06,4.3,549.411049397647,465.6,2999,1349.0,1299.0,677.62,50.23,95.94,7.11,543,0,64,45
Audio Array,FBA79016,B0CH4R1V6S,AM-C3a,Microphone,Wired Dynamic Mic,AM-C3a,4.0,501.9238840388823,425.36,1999,899.0,749.0,336.51,37.43,10.08,1.12,556,516,46,0
Audio Array,FBA79230,B0CX1XK5R6,AM-W46,Speaker,Microphone with Speaker,AM-W46,32.8,4279.287692572941,3626.51,12999,5999.0,4799.0,1457.38,24.29,-757.68,-12.63,24,19,6,1
Audio Array,FBA79448,B0DFMKY4TT,AM-W35,Microphone,Wireless UHF Microphone,AM-W35,15.22,1892.107963854,1603.48,6499,3359.0,3199.0,1243.13,37.01,24.24,0.72,311,273,44,11
Audio Array,FBA79108,B0CM9L1QZG,AM-W16,Microphone,Wireless Lapel Microphone,AM-W16,5.8,719.046526635,609.36,7999,1399.0,1399.0,576.23,41.19,16.99,1.21,146,48,71,1
