week,Model,inventory_ampm,inventory_1p,inventory_amazon,inventory_total_amazon,pipeline_orders,inv_units_model
13,DF-01-BK,0.0,0.0,5.0,5.0,0.0,5.0
13,DH-01,91.0,0.0,47.0,138.0,0.0,138.0
13,DP-718H,0.0,0.0,0.0,0.0,20.0,0.0
13,DZ1206,0.0,0.0,3.0,3.0,0.0,3.0
13,DZ2189,0.0,0.0,4.0,4.0,0.0,4.0
13,DZ2210SET,0.0,0.0,5.0,5.0,0.0,5.0
13,DZ2212,0.0,0.0,5.0,5.0,0.0,5.0
13,DZ2213,0.0,0.0,5.0,5.0,0.0,5.0
13,DZ2214,0.0,0.0,5.0,5.0,0.0,5.0
13,DZ2215,0.0,0.0,2.0,2.0,0.0,2.0
13,DZ4627,0.0,0.0,5.0,5.0,0.0,5.0
13,DZ4640,0.0,0.0,2.0,2.0,0.0,2.0
13,DZ4659,0.0,0.0,2.0,2.0,0.0,2.0
13,DZ4662,0.0,0.0,2.0,2.0,0.0,2.0
13,DZ4665,0.0,0.0,9.0,9.0,0.0,9.0
13,DZ4667,0.0,0.0,4.0,4.0,0.0,4.0
13,DZ4670,0.0,0.0,1.0,1.0,0.0,1.0
13,DZ4671,0.0,0.0,3.0,3.0,0.0,3.0
13,DZ4702,0.0,0.0,7.0,7.0,0.0,7.0
13,DZ4703,0.0,0.0,6.0,6.0,0.0,6.0
13,DZ4709,0.0,0.0,6.0,6.0,0.0,6.0
13,DZ5609,0.0,0.0,2.0,2.0,0.0,2.0
13,DZ5611,0.0,0.0,3.0,3.0,0.0,3.0
13,DZ5612,0.0,0.0,3.0,3.0,0.0,3.0
13,DZ5613,0.0,0.0,3.0,3.0,0.0,3.0
13,DZ5618,0.0,0.0,1.0,1.0,0.0,1.0
13,DZ7395,0.0,0.0,2.0,2.0,0.0,2.0
13,DZ7487,0.0,0.0,2.0,2.0,0.0,2.0
13,EA-01,709.0,1.0,207.0,917.0,0.0,917.0
13,EA-02,287.0,0.0,127.0,414.0,0.0,414.0
13,EM-01,1.0,0.0,0.0,1.0,0.0,1.0
13,EM-02,21.0,0.0,0.0,21.0,0.0,21.0
13,ES2811,0.0,0.0,0.0,0.0,0.0,0.0
