week,brand,model,sku,asin,channel,type,category_l0,category_l1,category_l2,inventory_units,inventory_value,nlc
Week 10,Nexlev,HSB-03,FBA79405,B0D9KFP4MG,Amazon,Marketplace,HPC,Hair Care,Hair Straightener Brush - Corded,138.0,119784.0,868.0
Week 10,Nexlev,HSB-03,FBA79405,B0D9KFP4MG,B2B - AMPM,Warehouse,HPC,Hair Care,Hair Straightener Brush - Corded,120.0,104160.0,868.0
Week 10,Nexlev,HSB-03,FBA79405,B0D9KFP4MG,Blinkit,Marketplace,HPC,Hair Care,Hair Straightener Brush - Corded,1.0,868.0,868.0
Week 10,Nexlev,HSB-03,FBA79405,B0D9KFP4MG,YNT,Dispatch Partner,HPC,Hair Care,Hair Straightener Brush - Corded,47.0,40796.0,868.0
Week 10,Nexlev,HSB-04,FBA79406,B0DCK3N2JJ,1p,1P,HPC,Hair Care,Hair Straightener Brush - Cordless,0.0,0.0,961.0
Week 10,Nexlev,HSB-04,FBA79406,B0DCK3N2JJ,AMPM,Warehouse,HPC,Hair Care,Hair Straightener Brush - Cordless,0.0,0.0,961.0
Week 10,Nexlev,HSB-04,FBA79406,B0DCK3N2JJ,Amazon,Marketplace,HPC,Hair Care,Hair Straightener Brush - Cordless,240.0,230640.0,961.0
Week 10,Nexlev,HSB-04,FBA79406,B0DCK3N2JJ,B2B - AMPM,Warehouse,HPC,Hair Care,Hair Straightener Brush - Cordless,36.0,34596.0,961.0
Week 10,Nexlev,HSB-04,FBA79406,B0DCK3N2JJ,Blinkit,Marketplace,HPC,Hair Care,Hair Straightener Brush - Cordless,36.0,34596.0,961.0
Week 10,Nexlev,HSB-04,FBA79406,B0DCK3N2JJ,Open Order,In-Transit Inventory,HPC,Hair Care,Hair Straightener Brush - Cordless,1000.0,961000.0,961.0
Week 10,Nexlev,HSB-04,FBA79406,B0DCK3N2JJ,YNT,Dispatch Partner,HPC,Hair Care,Hair Straightener Brush - Cordless,29.0,27869.0,961.0
Week 10,Nexlev,HU-01,FBA79681,B0DVC968P1,AMPM,Warehouse,Home & Kitchen,Air Purifier,Humidifier Black,17.0,14093.0,829.0
Week 10,Nexlev,HU-01,FBA79681,B0DVC968P1,Amazon,Marketplace,Home & Kitchen,Air Purifier,Humidifier Black,18.0,14922.0,829.0
Week 10,Nexlev,HU-01,FBA79681,B0DVC968P1,YNT,Dispatch Partner,Home & Kitchen,Air Purifier,Humidifier Black,2.0,1658.0,829.0
Week 10,Nexlev,HU-02,FBA79682,B0DVC8NYY2,AMPM,Warehouse,Home & Kitchen,Air Purifier,Humidifier White,788.0,644584.0,818.0
Week 10,Nexlev,HU-02,FBA79682,B0DVC8NYY2,Amazon,Marketplace,Home & Kitchen,Air Purifier,Humidifier White,140.0,114520.0,818.0
Week 10,Nexlev,HU-02,FBA79682,B0DVC8NYY2,YNT,Dispatch Partner,Home & Kitchen,Air Purifier,Humidifier White,2.0,1636.0,818.0
Week 10,Nexlev,IPL-01,FBA79571,B0DKK12XWR,1p,1P,HPC,Skin Care,Laser Hair Remover Device,0.0,0.0,1307.0
Week 10,Nexlev,IPL-01,FBA79571,B0DKK12XWR,AMPM,Warehouse,HPC,Skin Care,Laser Hair Remover Device,39.0,50973.0,1307.0
