asin,sku,brand,model,price_audioarray,price_nexlev,price_viomi,price_whitemulberry,amazon_1p_price,buybox_price,buybox_seller_id,buybox_belongs_to_us,currency,fetched_at
B0DT6Y7KJM,FBA79492,Nexlev,V-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DQCWRG3H,FBA79493,Nexlev,V-03,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DKJZDY72,FBA79565,Nexlev,VC-04,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DKJSCLBD,FBA79566,Nexlev,VC-05,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DNJS23HS,FBA79567,Nexlev,SC-04,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DKJRML4K,FBA79569,Nexlev,LE-06,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DKJXRXKM,FBA79570,Nexlev,BR-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DKK12XWR,FBA79571,Nexlev,IPL-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DKJVWM8Q,FBA79572,Nexlev,LE-07,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DKK15YNJ,FBA79573,Nexlev,EA-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DHRQPGGM,FBA79588,Nexlev,EA-01 Pro,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DNJP9T35,FBA79589,Nexlev,SS-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0GLHC8CB3,FBK80024,Nexlev,SS-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DM6BB3VT,FBA79590,Nexlev,CFM-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DM66B2DW,FBA79591,Nexlev,KM-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F29SZCVF,FBK79591,Nexlev,KM-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DMSMKRD9,FBA79592,Nexlev,FM-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DMSSLXST,FBA79593,Nexlev,FM-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DM6MG4ZH,FBA79594,Nexlev,EM-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DMSHZXG2,FBA79595,Nexlev,EM-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DMT19RWC,FBA79596,Nexlev,MG-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DNJHKZ2G,FBA79597,Nexlev,BM-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DNJJKBKG,FBK79598,Nexlev,BM-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DRD8J8R5,FBA79599,Nexlev,VC-06,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F43P6D23,FBA79652,Nexlev,SC-05,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FJG5PFGQ,FBA79673,Nexlev,ETC-07-WH,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DV8XH455,FBA79674,Nexlev,BM-03,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DV9MYK6S,FBA79675,Nexlev,PM-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DV91JGF1,FBA79676,Nexlev,HB-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DVCBR11D,FBA79677,Nexlev,NP-06,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DVCDD5VC,FBA79678,Nexlev,NP-07,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DVC7VJP1,FBA79679,Nexlev,ST-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DVC968P1,FBA79681,Nexlev,HU-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DVC8NYY2,FBA79682,Nexlev,HU-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DVC9PRSD,FBA79683,Nexlev,AP-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DVC9Q219,FBA79684,Nexlev,AP-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DV8V3Y88,FBAM79685,Nexlev,LE-08,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DV94R4QD,FBA79686,Nexlev,MGS-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DV9CY3XR,FBA79687,Nexlev,MGC-03,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DV8TR64D,FBA79688,Nexlev,MM-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DVSZ2VVJ,FBA79689,Nexlev,CFM-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DV931G48,FBA79690,Nexlev,PM-02,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DVC58QPZ,FBA79692,Nexlev,AP-03,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DVC91Q7J,FBA79693,Nexlev,TM-05,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DTK4FY1G,FBA79698,Nexlev,SS-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0DTYDTKN8,FBA79699,Nexlev,SPM-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
