asin,sku,am_soh,am_intransit
B0B4G94VP3,FBA75683,19,0
B0DN6PFWNK,FBA79655,19,0
B0FJ2LQT7K,FBA79826,14,5
B0FN7C25VS,FBA79846,18,0
B0DV94R4QD,FBA79686,17,0
B0CH4T2BJD,FBA79010,17,0
B0D672NXC8,FBA79277,11,6
B0DN6MNS1X,FBA79654,17,0
B0DNJF1BLS,FBA79484,17,0
B0DNJJKBKG,FBA79598,17,0
B0C8JDHLX9,FBA79115,8,8
B0BQ7H7418,FBA76597,16,0
B0B4G8PH2P,FBA75678,16,0
B0D3Q2T5XX,FBA79356,16,0
B0GW92TTMS,FBA80003,10,6
B0GW92316G,FBA80004,10,6
B0GW96SHSK,FBA80002,10,6
B0F2MZ9BJS,FBA79717,15,0
B0FVM17Q4W,FBA79909,15,0
B0FLYHJ6DK,FBK79009,15,0
B0FLYJFC22,FBK79010,15,0
B0FJ2J6MTF,FBA79822,15,0
B0CM9P5CCK,FBA79107,14,0
B0BBL47VR5,FBA77116,8,6
B0GN8N96R5,FBA79988,14,0
B0CBC7QMNV,FBA78925,14,0
B0BGMNKCNT,FBA76665,13,0
B0FQBX8J17,FBA79838,13,0
B0CF5R3V95,FBA78973,13,0
B0GN2LHJY4,FBA80007,12,0
B0BTCXQQ6M,FBA79113,12,0
B0DTYDTKN8,FBA79699,12,0
B089FVQD3Z,FBA77105,6,6
B0DN6LJZBR,FBA79653,12,0
B0DVSZ2VVJ,FBA79689,6,6
B0CH4R1V6S,FBA79016,12,0
B0FJ8Z1W81,FBA79836,12,0
B0FJ8W5Y9Q,FBA79831,12,0
B0BRKFP94K,FBA79111,11,0
B082W4B7SX,FBA77106,11,0
B0CH9JR3HL,FBA79586,6,5
B0CDQ55W2M,FBA78995,11,0
B0GQGXR9D7,FBA80080,5,5
B0CQX3VB1R,FBA79696,10,0
B0DP2VVRND,FBA79613,10,0
B0GQGK4GJ7,FBA80081,5,5
B0GQGZVGLL,FBA80082,5,5
B0GQCB4PJC,FBA80079,5,5
B0C598Q6PT,FBA78423,10,0
B0GQC12GDP,FBA80078,5,5
B0C5957W3P,FBA78420,10,0
B0FN7FYZM3,FBA79847,10,0
B0B4K87PR4,FBA75690,10,0
B0FJ8TWCQZ,FBA79835,10,0
B0DFMQCGT1,FBA79465,9,0
B0BLK8DNPD,FBA76716,9,0
B0DFM4JZV9,FBA79466,9,0
B0CJR76Y7G,FBA79064,9,0
