asin,sku,brand,model,seller_rank,seller_id,seller_name,is_buybox_winner,price,landed_price,shipping,is_fba,is_prime,feedback_rating,fetched_at
B0DTK4FY1G,FBA79698,Nexlev,SS-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,2543.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DTYDTKN8,FBA79699,Nexlev,SPM-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,4239.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0FJ1ZB4G9,FBA79707,Nexlev,ETC-08-BL,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,794.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0FJ8SFNRH,FBA79809,Nexlev,KE-03,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,635.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0FJ8SFNRH,FBA79809,Nexlev,KE-03,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,779.0,,0.0,True,False,97.0,2026-08-03T10:44:11.848967+00:00
B0FS7T8151,FBA79810,Nexlev,MF-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,508.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0FSF1N457,FBA79811,Nexlev,MC-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,599.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0FS6TB7CP,FBA79812,Nexlev,PB-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,2499.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0FS6TB7CP,FBA79812,Nexlev,PB-01,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,2599.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0FT8R24QM,FBA79819,Nexlev,LR-03,1,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),True,415.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0FT8R24QM,FBA79819,Nexlev,LR-03,2,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),False,466.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0FPGDVVCX,FBA79849,Nexlev,CFM-03,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,5799.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DQ8W1RBV,FBK79271,Nexlev,V-01 RG,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1483.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DQ8W1RBV,FBK79271,Nexlev,V-01 RG,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,1559.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0F2N1HTBT,FBA79714,Nexlev,SC-04 Set of 2 Mops,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,299.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0FMF1D9NV,FBA79843,Nexlev,SC-04 Spare Set,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),False,899.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0F2N37819,FBA79606,Nexlev,LR-01 Set of 2 blades,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,299.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0F2N11VTN,FBA79607,Nexlev,LR-02 Set of 2 blades,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,499.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DGTGKPJR,FBA79436,Nexlev,MR-01 HEPA Filter,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,299.0,,0.0,False,False,88.0,2026-08-03T10:44:11.848967+00:00
B0DGTGKPJR,FBA79436,Nexlev,MR-01 HEPA Filter,2,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),False,299.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0F2N31GNX,FBA79657,Nexlev,SS-02 Set of Spares,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,875.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0F678L8YT,FBA79771,Nexlev,SC-01 Set of Spares,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,599.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0F74DJYG6,FBA79773,Nexlev,VC-01 HEPA,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,248.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0F67775SH,FBA79775,Nexlev,VC-03 HEPA,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,249.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0F6795PDP,FBA79777,Nexlev,AP-01 HEPA,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,3599.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0F67BW7SF,FBA79778,Nexlev,AP-03 HEPA,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1099.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0FYNLPK1B,FBA79913,Nexlev,"VC-05 VC-05 -Set of Spares(Crevice, Brush & Hose)",1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,399.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0GN85NZQN,FBM79991,Nexlev,DH-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,5699.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0GN85NZQN,FBA79991,Nexlev,DH-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,5699.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0GN85NZQN,FBM79991,Nexlev,DH-01,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,5699.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0GN85NZQN,FBA79991,Nexlev,DH-01,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,5699.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0BPLZ5CGV,FBA76864,Audio Array,AI-04 Red,1,A1WYWER0W24N8S,Other 3P (A1WYWER0W24N8S),True,4833.0,,0.0,True,True,91.0,2026-08-03T10:44:11.848967+00:00
B0BPLZ5CGV,FBA76864,Audio Array,AI-04 Red,2,A28KGDTB760OU9,Other 3P (A28KGDTB760OU9),False,4799.0,,0.0,True,True,100.0,2026-08-03T10:44:11.848967+00:00
B0B4DPX2J2,FBA75673,Audio Array,AM-C1,1,A1WYWER0W24N8S,Other 3P (A1WYWER0W24N8S),True,2698.0,,0.0,True,True,91.0,2026-08-03T10:44:11.848967+00:00
B0B4DPX2J2,FBA75673,Audio Array,AM-C1,2,A28KGDTB760OU9,Other 3P (A28KGDTB760OU9),False,2699.0,,0.0,True,True,100.0,2026-08-03T10:44:11.848967+00:00
B0DXFPM4N2,FBA79482,Audio Array,AM-S1,1,A1WYWER0W24N8S,Other 3P (A1WYWER0W24N8S),True,9052.0,,0.0,True,True,91.0,2026-08-03T10:44:11.848967+00:00
B0DXFPM4N2,FBA79482,Audio Array,AM-S1,2,A28KGDTB760OU9,Other 3P (A28KGDTB760OU9),False,8999.0,,0.0,True,True,100.0,2026-08-03T10:44:11.848967+00:00
B0D3M1B4Z8,FBA79380,Audio Array,AM-C46,1,A1WYWER0W24N8S,Other 3P (A1WYWER0W24N8S),True,3510.0,,0.0,True,True,91.0,2026-08-03T10:44:11.848967+00:00
B0D3M1B4Z8,FBA79380,Audio Array,AM-C46,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,3490.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0D3M1B4Z8,FBA79380,Audio Array,AM-C46,3,A28KGDTB760OU9,Other 3P (A28KGDTB760OU9),False,3499.0,,0.0,True,True,100.0,2026-08-03T10:44:11.848967+00:00
