(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0F43P6D23,B0F43P6D23,NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office Cleaning machine | 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Grease Water Stain Cleaner| 4 M Cord |1050W |SC-05,"7,019",139,2.41%,2.58%,"8,872",181,2.27%,2.39%,24.87%,26.67%,15,1,0.21%,0.72%,"₹37,717.00","₹2,899.00",15,1
B0D67727VG,B0D67727VG,NexLev LED Therapy Oil Applicator | Reduce Dandruff | Improve Hair Growth | EMS for Scalp Improvement | Red & Blue Light | High Frequency Massage for Better Absorption | 10 ML | Waterproof | EA-01,972,25,0.33%,0.46%,"1,333",34,0.34%,0.45%,73.26%,53.33%,15,0,1.54%,0.00%,"₹14,593.00",₹0.00,14,0
B0FN4GQ9HT,B0FN4GQ9HT,"White Mulberry Tilt TV Wall Mount Bracket for 13–43 Inch Flat Screen TVs, Low Profile Slim Design, Heavy-Duty Steel, VESA 75x75 to 200x200, Supports up to 99 lbs (45kg), Built-in Bubble Level",564,35,0.19%,0.65%,772,43,0.20%,0.57%,99.86%,100.00%,16,1,2.84%,2.86%,"₹11,186.00",₹799.00,14,1
B0FN4HDM6Z,B0FN4HDM6Z,"White Mulberry Premium Full Motion TV Wall Mount Bracket for 23-65Inch |35kg| LED/LCD/OLED/Smart & Curved TV’s, Universal Heavy Duty Wall Mount Stand with Swivel, Tilt",598,41,0.21%,0.76%,842,62,0.22%,0.82%,99.86%,100.00%,16,4,2.68%,9.76%,"₹31,885.00","₹8,396.00",13,1
B089C2L66M,B089C2L66M,"Lewitt LCT 240 PRO Condenser Microphone Shock Mount, Magnetic Pop Filter and Windscreen, Black (Vocal Set)",867,17,0.30%,0.32%,"1,167",22,0.30%,0.29%,100.00%,100.00%,12,0,1.38%,0.00%,"₹1,59,229.00",₹0.00,12,0
B0CYSLCRQS,B0CYSLCRQS,"nexlev Mattress, Sofa & Carpet Vacuum Cleaner | for Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01","68,502",910,23.55%,16.88%,"84,358","1,139",21.60%,15.03%,11.47%,10.87%,12,0,0.02%,0.00%,"₹30,929.00",₹0.00,12,0
B0FHVWHQHR,B0FHVWHQHR,"White Mulberry Fixed TV Wall Mount Bracket for 37–86 Inch LED, LCD & Curved TVs | Heavy Duty Steel Frame, 45kg Max Load, VESA 50x50 to 600x400mm Max, Built-in Bubble Level, 1 Year Warranty",186,13,0.06%,0.24%,303,15,0.08%,0.20%,99.63%,100.00%,11,0,5.91%,0.00%,"₹8,284.00",₹0.00,10,0
B0DP2Z5DQ9,B0DP2Z5DQ9,"White Mulberry 10-Step Height Adjustable Single Screen Monitor Stand for 17-32 Inch Monitor, 8 kg Load, VESA 75x75/100x100, DIY Installation (Black)",469,28,0.16%,0.52%,600,34,0.15%,0.45%,100.00%,100.00%,12,0,2.56%,0.00%,"₹31,668.00",₹0.00,9,0
B0DCGHVN81,B0DCGHVN81,NexLev 2 in 1 Handheld & Stick Vacuum Cleaner | 17500 PA Suction | Dry Vacuuming for Home & Office | Washable HEPA Filter | 4 Adjustable Heads | Bagless| Deep Cleaning for Sofa Bed Window & more|VC-01,"5,666",51,1.95%,0.95%,"7,961",79,2.04%,1.04%,7.74%,14.89%,8,0,0.14%,0.00%,"₹16,418.00",₹0.00,8,0
B0CQX4K9P5,B0CQX4K9P5,"TONOR USB Dynamic Microphone for Podcast Gaming Mic with RGB for Recording, Live Streaming, YouTube, Singing, Studio, Tiktok Microfono with Quick Mute& Stand Compatible with PC/Cellphone TypeC","1,009",27,0.35%,0.50%,"1,845",41,0.47%,0.54%,11.17%,16.67%,7,0,0.69%,0.00%,"₹11,643.00",₹0.00,7,0
